OBJECTID,SciName,ComName,TaxonGroup,ElmCode,FedList,CalList,GRank,SRank,RPlantRank,OthrStatus,OccNumber,EOndx,Mapndx,ElmDate,SiteDate,Sensitive,OccRank,Presence,Accuracy,AccuracyOrder,Trend,OccType,County,Quad,Elevation,Latitude,Longitude,UTM,PLSS,Location,LocDetails,Ecological,ThreatList,Threat,General_,OwnerMgt,LastUpdate,KeyQuad,UTMZone,UTME,UTMN
11,Chloropyron maritimum ssp. maritimum,salt marsh bird's-beak,Dicots,PDSCR0J0C2,Endangered,Endangered,G4?T1,S1,1B.2,SB_CRES-San Diego Zoo CRES Native Gene Seed Bank | SB_RSABG-Rancho Santa Ana Botanic Garden | SB_SBBG-Santa Barbara Botanic Garden,17,17515,15125,20170906,20170906,N,B-Good,Presumed Extant,Specific bounded area,20,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),20,34.40178,-119.53701,Zone-11 N3809624 E266794,"T04N, R25W, Sec. 30 (S)","CARPINTERIA SALT MARSH; BETWEEN SANDYLAND AND SANDYLAND COVE, WEST OF CARPINTERIA.",MAPPED BY CNDDB AS 7 POLYGONS MOSTLY ACCORDING TO SEVERAL MAPS FROM EARLY 1980'S. FLUCTUATIONS IN POPULATION SIZE POSSIBLY DUE TO CLIMATIC CONDITIONS AND DREDGING AT MOUTH OF MARSH. SOME POPS NOT SEEN IN MANY YEARS. INCL FRMR EO #S 18-20.,"LOWER SALTMARSH ON SANDY LOAMS WITH SALICORNIA SUBTERMINALIS, DISTICHLIS SPICATA, FRANKENIA GRANDIFOLIA, MONANTHOCHLOE LITTORALIS, JAUMEA CARNOSA, CRESSA TRUXILLENSIS, CUSCUTA SALINA, HAPLOPAPPUS, TRIGLOCHIN, ETC.",Non-native plant impacts | Altered flood/tidal/hydrologic regime | Other | Foot traffic/trampling,"INCREASED TIDAL FLOW IN 1984 CREATED WETTER CONDITIONS, COMPETITION WITH LIMONIUM, INSECT PREDATION, TRAMPLING.","3 PLANTS IN 1978 IN NW COLONY BUT NOT SEEN SINCE (FERREN 1981). 2600+ IN 1980, 1000-1500 IN 1981, 1000+ IN 1983, 300+ IN 1984, 2000+ IN 2016, 14,000+ IN 2017. 2005 ARTICLE SAYS POP HAS RANGED FROM 1 TO >10,000 IN 27 YR PERIOD.",UCNR-CARPINTERIA SALT MARSH,5/31/2019 12:00:00 AM,Carpinteria (3411945),11,266794,3809624
12,Lonicera subspicata var. subspicata,Santa Barbara honeysuckle,Dicots,PDCPR030R3,None,None,G5T2?,S2?,1B.2,USFS_S-Sensitive,3,53541,53541,19260412,19260412,N,U-Unknown,Presumed Extant,Non-specific bounded area,30,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945) | Santa Barbara (3411946),,34.45387,-119.65963,Zone-11 N3815691 E255670,"T04N, R27W, Sec. 01 (S)","MOUNTAIN DRIVE, SANTA BARBARA.",EXACT LOCATION UNKNOWN. MAPPED AS BEST GUESS BY CNDDB ALONG MOUNTAIN DRIVE NEAR SANTA BARBARA.,"DRY, OPEN SLOPES AND ROADSIDES.",,,"BASED ON SEVERAL COLLECTIONS FROM ""MOUNTAIN DRIVE"" FROM 1904, 1908, 1925, AND 1926. NEEDS FIELDWORK.",UNKNOWN,2/10/2012 12:00:00 AM,Santa Barbara (3411946),11,255670,3815691
13,Horkelia cuneata var. puberula,mesa horkelia,Dicots,PDROS0W045,None,None,G4T1,S1,1B.1,USFS_S-Sensitive,39,54983,83414,19740525,19740525,N,U-Unknown,Presumed Extant,Circular feature with a 300 meter radius (1/5 mile),50,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),1600,34.46242,-119.6604,Zone-11 N3816642 E255625,"T04N, R27W, Sec. 1, NE (S)","0.75 MILE FROM W COLD SPRING TRAIL, 1.0 MILE FROM MOUNTAIN DRIVE, SANTA BARBARA.",50' FROM THE ELECTRICAL TOWERS. MAPPED AS BEST GUESS BY CNDDB IN THE VICINITY OF THE POWERLINES NEAR COLD SPRINGS ROAD AND MOUNTAIN DRIVE NEAR 1600 FEET IN ELEVATION.,GROWING IN ROCKY AND SANDY SOIL ON TOP OF BURN AREA WITH ADENOSTOMA FASCICULATUM AND SALVIA MELLIFERA ON RAISED AREA OF THE FLAT.,,,ONLY SOURCE OF INFORMATION FOR THIS SITE IS A 1974 COWAN COLLECTION; ANNOTATED TO H. CUNEATA VAR. PUBERULA BY ERTTER IN 1992. NEEDS FIELDWORK.,UNKNOWN,1/5/2016 12:00:00 AM,Santa Barbara (3411946),11,255625,3816642
14,Delphinium umbraculorum,umbrella larkspur,Dicots,PDRAN0B1W0,None,None,G3,S3,1B.3,BLM_S-Sensitive | USFS_S-Sensitive,2,59127,59091,19620506,19620506,N,U-Unknown,Presumed Extant,Non-specific bounded area,30,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),2100,34.48381,-119.56739,Zone-11 N3818794 E264230,"T05N, R26W, Sec. 26, SE (S)","ESCONDIDO CANYON AT ESCONDIDO SPRING, JUST SOUTHWEST OF BLUE CANYON PASS.",UNABLE TO LOCATE ESCONDIDO SPRING. MAPPED AROUND 2100 FOOT ELEVATION IN ESCONDIDO CANYON BASED ON LOCATION DESCRIPTION AND ELEVATION ON COLLECTION LABEL.,NORTH SLOPE OF CANYON ON SHALE ROAD BANK. FOUND WITH ERIOGONUM FASCICULATUM.,,,1962 BREEDLOVE COLLECTION IS THE ONLY SOURCE FOR THIS OCCURRENCE. NEEDS FIELDWORK.,USFS-LOS PADRES NF,1/4/2005 12:00:00 AM,Carpinteria (3411945),11,264230,3818794
15,Delphinium umbraculorum,umbrella larkspur,Dicots,PDRAN0B1W0,None,None,G3,S3,1B.3,BLM_S-Sensitive | USFS_S-Sensitive,29,59323,59287,19550518,19550518,N,U-Unknown,Presumed Extant,Non-specific bounded area,30,Unknown,Natural/Native occurrence,Santa Barbara,Hildreth Peak (3411955),1800,34.53335,-119.5635,Zone-11 N3824280 E264727,"T05N, R26W, Sec. 12 (S)","LOWER AGUA CALIENTE CANYON, GIBRALTAR DAM WATERSHED.",,,,,1955 SMITH COLLECTION IS THE ONLY SOURCE FOR THIS OCCURRENCE. NEEDS FIELDWORK.,USFS-LOS PADRES NF,1/12/2005 12:00:00 AM,Hildreth Peak (3411955),11,264727,3824280
16,Calochortus fimbriatus,late-flowered mariposa-lily,Monocots,PMLIL0D1J2,None,None,G3,S3,1B.3,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,30,63433,63341,20110317,20110317,N,U-Unknown,Presumed Extant,Specific bounded area,20,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),3500,34.49097,-119.68921,Zone-11 N3819879 E253061,"T05N, R27W, Sec. 27, NE (S)","EAST CAMINO CIELO, JUST EAST OF JUNCTION WITH GIBRALTAR ROAD, SANTA YNEZ MOUNTAINS.",MAPPED BY CNDDB ACCORDING TO 2011 CHRISTOPHER COORDINATES IN THE NE 1/4 OF THE NE 1/4 OF SECTION 27. SITE MAY EXTEND FURTHER WEST BASED ON A 1944 SMITH COLLECTION WHICH INDICATES PLANTS OCCUR 1 BLOCK W OF GIBRALTAR RD JUNCTION.,ROAD SHOULDER.,Road/trail construction/maint. | Wood cutting or brush clearing,FLAGGED AND AVOIDED DURING LAS PADRES NF ROADSIDE BRUSHING PROJECT; HOWEVER SBA COUNTY ALSO BRUSHES ROADSIDE REGULARLY.,"UNKNOWN NUMBER OF PLANTS OBSERVED IN 2011. 1944 SMITH COLLECTION FROM ""EL CAMINO CIELO, 1 BLOCK W OF JUNCTION WITH DEPRESSION RD (GIBRALTAR RD)"" AND 1965 ALLEN COLLECTION FROM ""UPPER AREAS OF RATTLESNAKE CYN"" ARE ATTRIBUTED TO THIS SITE.",UNKNOWN,8/25/2014 12:00:00 AM,Santa Barbara (3411946),11,253061,3819879
17,Calochortus fimbriatus,late-flowered mariposa-lily,Monocots,PMLIL0D1J2,None,None,G3,S3,1B.3,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,32,63435,53541,19290711,19290711,N,U-Unknown,Presumed Extant,Non-specific bounded area,30,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945) | Santa Barbara (3411946),,34.45387,-119.65963,Zone-11 N3815691 E255670,"T04N, R27W, Sec. 01 (S)","MOUNTAIN DRIVE, SANTA YNEZ MOUNTAINS.",EXACT LOCATION UNKNOWN. MAPPED AS BEST GUESS BY CNDDB ALONG MOUNTAIN DRIVE NEAR SANTA BARBARA.,,,,ONLY SOURCE OF INFORMATION FOR THIS SITE IS 1929 COLLECTION BY HOYT. NEEDS FIELDWORK.,UNKNOWN,7/13/2011 12:00:00 AM,Santa Barbara (3411946),11,255670,3815691
18,Calochortus fimbriatus,late-flowered mariposa-lily,Monocots,PMLIL0D1J2,None,None,G3,S3,1B.3,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,33,63437,63345,19580729,19580729,N,U-Unknown,Presumed Extant,Non-specific bounded area,30,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),1000,34.46184,-119.69071,Zone-11 N3816651 E252838,"T04N, R27W, Sec. 03, E (S)","RATTLESNAKE CANYON, SANTA YNEZ MOUNTAINS.","EXACT LOCATION UNKNOWN. MAPPED BY CNDDB AS BEST GUESS IN RATTLESNAKE CANYON NEAR ELEVATION PROVIDED ON HERBARIUM LABEL, 1000 FEET.",NORTH-FACING SANDSTONE RIDGE.,,,ONLY SOURCE OF INFORMATION FOR THIS SITE IS A 1958 COLLECTION BY BLAKLEY. NEEDS FIELDWORK.,CITY OF SANTA BARBARA,7/13/2011 12:00:00 AM,Santa Barbara (3411946),11,252838,3816651
19,Thelypteris puberula var. sonorensis,Sonoran maiden fern,Ferns,PPTHE05192,None,None,G5T3,S2,2B.2,USFS_S-Sensitive,18,81216,80228,20110123,20110123,N,U-Unknown,Presumed Extant,Specific bounded area with an 80 meter radius,10,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),1530,34.46376,-119.59112,Zone-11 N3816625 E261995,"T04N, R26W, Sec. 3, NE (S)","ROMERO CANYON TRAIL, ~0.4 MI N OF ROMERO CANYON RD AND 0.14 MI W OF TORO CANYON ROAD, SANTA YNEZ MOUNTAINS.","MAPPED ACCORDING TO 2011 CAHILL COORDINATES, IN THE NW 1/4 OF THE NE 1/4 OF SECTION 3.","ALONG CREEK EDGE. ASSOCIATED WITH ASPIDOTIS CALIFORNICA, POLYPODIUM CALIFORNICUM, ADIANTUM JORDANII, PELLAEA ANDROMEDIFOLIA, DRYOPTERIS ARGUTA, WOODWARDIA FIMBRIATA, PENTAGRAMMA TRIANGULARIS, AND PTERIDIUM AQUILINUM.",,,"SITE IS BASED ON A 2011 CAHILL COLLECTION. 1990 BORNSTEIN COLLECTION FROM ""ROMERO CYN TRAIL, ABOVE SMALL WATERFALL AT CRK EDGE"" ALSO ATTRIB HERE; MAY HAVE BEEN SEEN FURTHER NORTH BASED ON AN UNRELATED OBSERVATION OF A SMALL WATERFALL.",USFS-LOS PADRES NF,10/26/2017 12:00:00 AM,Carpinteria (3411945),11,261995,3816625
20,Thelypteris puberula var. sonorensis,Sonoran maiden fern,Ferns,PPTHE05192,None,None,G5T3,S2,2B.2,USFS_S-Sensitive,19,81217,80229,19811212,19811212,N,U-Unknown,Presumed Extant,Non-specific bounded area,30,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),,34.46951,-119.61095,Zone-11 N3817310 E260188,"T05N, R26W, Sec. 33, S (S)","EAST FORK OF SAN YSIDRO CANYON, SANTA YNEZ MOUNTAINS.",MAPPED BY CNDDB AS BEST GUESS ALONG THE MAIN STEM OF THE EAST FORK OF SAN YSIDRO CANYON.,WET AREA AMONG BOULDERS.,,,"MAIN SOURCE OF INFORMATION FOR THIS SITE IS A 1981 BLAKLEY COLLECTION. AN 1894 GILBERT COLLECTION FROM ""SAN YSIDRO CANYON, NEAR SANTA BARBARA"" IS ALSO ATTRIBUTED TO THIS SITE. NEEDS FIELDWORK.",UNKNOWN,10/26/2017 12:00:00 AM,Carpinteria (3411945),11,260188,3817310
21,Calochortus palmeri var. palmeri,Palmer's mariposa-lily,Monocots,PMLIL0D122,None,None,G3T2,S2,1B.2,BLM_S-Sensitive | SB_RSABG-Rancho Santa Ana Botanic Garden | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,54,81225,80240,,,N,U-Unknown,Presumed Extant,Circular feature with a 600 meter radius (2/5 mile),60,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),,34.49243,-119.50793,Zone-11 N3819613 E269716,"T05N, R25W, Sec. 28 (S)",ABOVE JUNCAL DAM IN THE SANTA YNEZ WATERSHED.,EXACT LOCATION UNKNOWN. MAPPED AS BEST GUESS BY CNDDB IN GENERAL VICINITY OF JUNCAL DAM.,,,,ONLY SOURCE OF INFORMATION FOR THIS OCCURRENCE IS A BRIEF SITE DESCRIPTION IN A USFS BIODIVERSITY STATUS REPORT. NEEDS FIELDWORK.,UNKNOWN,10/4/2010 12:00:00 AM,Carpinteria (3411945),11,269716,3819613
22,Quercus dumosa,Nuttall's scrub oak,Dicots,PDFAG050D0,None,None,G3,S3,1B.1,USFS_S-Sensitive,89,83524,82499,20100805,20100805,N,B-Good,Presumed Extant,Specific bounded area with an 80 meter radius,10,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),1250,34.45007,-119.57331,Zone-11 N3815065 E263591,"T04N, R26W, Sec. 11, NE (S)","1020 LADERA LANE, ABOUT 0.4 AIR MILE NNW OF BUELL RESERVOIR, MONTECITO.","IN CHAPARRAL ABOVE STRUCTURES IN NATURAL RESERVE AREA, NEAR EDGE OF OLD WATER LINE. MAPPED IN THE NW 1/4 OF THE NE 1/4 OF SECTION 11 ACCORDING TO 2010 COORDINATES PROVIDED BY CARROLL.","SANDSTONE SUBSTRATE, S-FACING SLOPE. ASSOC W/ CEANOTHUS MEGACARPUS SSP. MEGACARPUS, CERCOCARPUS BETULOIDES, HETEROMELES ARBUTIFOLIA, & MALOSMA LAURINA. SOME LOCATIONS W/ DENSE UNDERSTORY OF MELICA IMPERFECTA.",Development | Non-native plant impacts | Other | Wood cutting or brush clearing,"DISTURBED BY WATER LINES, DEVELOPMENT, PENNISETUM SETACEUM. IN FUEL MOD ZONE, SOME QUDU CUT TO GROUND, NOW RESPROUTING.",110 PLANTS OBSERVED IN 2010. THE RARE CALOCHORTUS WEEDII VAR. VESTUS ALSO OCCURS AT THIS LOCATION.,PVT,6/1/2011 12:00:00 AM,Carpinteria (3411945),11,263591,3815065
23,Quercus dumosa,Nuttall's scrub oak,Dicots,PDFAG050D0,None,None,G3,S3,1B.1,USFS_S-Sensitive,90,83527,82501,20071121,20071121,N,B-Good,Presumed Extant,Specific bounded area with an 80 meter radius,10,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),1134,34.44248,-119.55978,Zone-11 N3814191 E264813,"T04N, R26W, Sec. 12, SW (S)","RIDGE BORDERING EAST SIDE OF TORO CANYON, ABOUT 1.4 AIR MILES NORTHEAST OF TORO CANYON RESERVOIR.",PLANTS OBSERVED IN DIFFERENT LOCATIONS THROUGHOUT A ROUGHTLY 3 ACRE PRIVATE PROPERTY. MAPPED IN THE NE 1/4 OF THE SW 1/4 OF SECTION 12 ACCORDING TO 2007 COORDINATES PROVIDED BY HOLLY.,"COASTAL SAGE SCRUB. DOMINANT PLANT SPECIES INCLUDE CERCOCARPUS BETULOIDES, HETEROMELES ARBUTIFOLIA, CEANOTHUS MEGACARPUS, ARTEMISIA CALIFORNICA, RIBES MALVACEUM, NICOTIANA GLAUCA, AND MALOSMA LAURINA.",Development | Road/trail construction/maint.,THREATENED BY VEHICLES AND DEVELOPMENT OF NEW ESTABLISHMENTS AND ROADS.,ABOUT 27 PLANTS OBSERVED IN 2007.,PVT,5/5/2011 12:00:00 AM,Carpinteria (3411945),11,264813,3814191
