"","OBJECTID","Institution_Code","Catalog_Number","Scientific.Name","Collector","Collector_Num_Prefix","Collector_Num","Collector_Num_Suffix","early_J_date","late_J_date","Date_Collected","County","Elevation","Locality","Latitude","Longitude","Datum","Link_Back","Column1","Common.Name","Family","Lifeform","CRPR","GRank","SRank","CESA","FESA","Blooming.Period","Habitat","Micro.Habitat","Elevation.Low..m.","Elevation.Low..ft.","Elevation.High..m.","Elevation.High..ft.","CA.Endemic","States","Counties","Quads","EO.Total","EO.A","EO.B","EO.C","EO.D","EO.X","EO.U","EO.Historical","EO.Recent","EO.Extant","EO.Possibly.Extirpated","EO.Extirpated","Notes","Full.Scientific.Name","Synonyms","Element.Code","USDA.PLANTS.Symbol","Flora.Status","CBR.Reason","Date.Added","Date.Changed","Last.Update","X"
"77",3919,"RSA","RSA366462","Allium howellii var. clokeyi","E. R. Chandler","",3467,"",2439644,2439644,"1967-06-02","Ventura","1372m","Near Sandstone Camp off Route 33",34.6135,-119.367,"NAD27","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA366462"" target=""_blank"">View Details</a>",NA,"Mt. Pinos onion","Alliaceae","perennial bulbiferous herb","1B.3","G4T2","S2","None","None","Apr-Jun","Great Basin scrub, Meadows and seeps (edges), Pinyon and juniper woodland","",1300,4265,1850,6070,TRUE,"","KRN, LAX, SBA, SBD, VEN","Lake Arrowhead (3411732), Warm Springs Mountain (3411855), Liebre Mtn. (3411866), Black Mtn. (3411867), Frazier Mtn. (3411878), Wheeler Springs (3411953), Lockwood Valley (3411961), San Guillermo (3411962), Reyes Peak (3411963), Cuddy Valley (3411971), Sawmill Mountain (3411972), Apache Canyon (3411973), Cuyama Peak (3411974), Hurricane Deck (3411977), Ballinger Canyon (3411984), New Cuyama (3411986), Tehachapi South (3511814)",25,2,2,0,0,0,21,16,9,25,0,0,"Threatened by mining, road maintenance, and vehicles.  Possibly threatened by grazing and trampling.","Allium howellii Eastw. var. clokeyi Traub","","PMLIL02161","ALHOC",NA,NA,"1974-01-01","","2014-08-08",NA
"78",3926,"UC","UC1980063","Symphyotrichum greatae","LeRoy Gross","",2787,"",2454258,2454258,"June 6, 2007","Ventura","","Transverse Ranges; Mount Pinos region: Pine Canyon. (Sespe Condor Sanctuary) Southern side of the Topatopa Mountains. Northeast end of the Santa Paula Ridge. North of the city of Fillmore. Entered from a hikers' trail off of Goodenough Road, just a short distance from mouth of Sespe Creek. Near 34.45142N, 118.92317W. Hiked up canyon to the mouth of Pine Canyon, near 34.46101N, 118.94236W. Then hiked up Pine Canyon to as far as a waterfall near 34.44769N, 118.97179W.",34.45341,-118.95593,"not recorded","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UC1980063"" target=""_blank"">View Details</a>",NA,"Greata's aster","Asteraceae","perennial rhizomatous herb","1B.3","G2","S2","None","None","Jun-Oct","Broadleafed upland forest, Chaparral, Cismontane woodland, Lower montane coniferous forest, Riparian woodland","mesic",300,980,2010,6595,TRUE,"","LAX, SBD, VEN","Mt. Baldy (3411726), Glendora (3411727), Azusa (3411728), Cajon (3411734), Telegraph Peak (3411735), Mount San Antonio (3411736), Crystal Lake (3411737), Waterman Mtn. (3411738), Juniper Hills (3411748), Los Angeles (3411812), Beverly Hills (3411814), Mt. Wilson (3411821), Pasadena (3411822), Burbank (3411823), Chilao Flat (3411831), Condor Peak (3411832), Sunland (3411833), San Fernando (3411834), Pacifico Mountain (3411841), Agua Dulce (3411843), Acton (3411846), Val Verde (3411846), Piru (3411847), Fillmore (3411848), Whitaker Peak (3411856), Burnt Peak (3411865), Liebre Mtn. (3411866)",56,1,2,1,0,3,49,42,14,53,3,0,"Threatened by recreational activities, trail maintenance, and non-native plants.  See Bulletin of the Southern California Academy of Sciences 1:15 (1902) for original description, Phytologia 71(3):167-170 (1991) for nomenclatural correction, and Phytologia 77(3): 283 (1994) for revised nomenclature.","Symphyotrichum greatae (Parish) G.L. Nesom","Aster greatae","PDASTE80U0","SYGR7",NA,NA,"1974-01-01","","2010-11-16",NA
"79",4033,"UCSB","UCSB55416","Phacelia hubbyi","Magney, David; Burgess, Rick","",NA,"",2445505,2445505,"1983-06-19","Ventura","792 m","12 miles N of Ojai, western Transverse Ranges T5N, R23W, S. 1, 2, & 3, Wheeler Springs Quadrangle; Bellyache Falls, Hwy. 33 (mile marker 22.27)",34.5416667,-119.2666667,"not recorded","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCSB55416"" target=""_blank"">View Details</a>",NA,"Hubby's phacelia","Hydrophyllaceae","annual herb","4.2","G4","S4","None","None","Apr-Jul","Chaparral, Coastal scrub, Valley and foothill grassland","gravelly, rocky, talus",0,0,1000,3280,TRUE,"","KRN, LAX, SBA, VEN","Yorba Linda (3311787), San Pedro (3311863), Torrance (3311873), Redondo Beach (3311874), Santa Cruz Island D (3311984), Santa Cruz Island C (3311985), San Dimas (3411717), Los Angeles (3411812), Hollywood (3411813), Malibu Beach (3411816), Point Dume (3411817), Triunfo Pass (3411818), Burbank (3411823), Van Nuys (3411824), Sunland (3411833), Val Verde (3411846), Acton (3411846), Piru (3411847), Warm Springs Mountain (3411855), Ventura (3411933), Matilija (3411943), Santa Barbara (3411946), Goleta (3411947), Hildreth Peak (3411955), Little Pine Mtn. (3411956), San Marcos Pass (3411957), Santa Ynez (3412051), Lompoc (3412064), Twitchell Dam (3412083), Cinco (3511831)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Many collections old; need field surveys.  Possibly threatened by development, fire suppression, and weed control measures.  See P. cicutaria var. hubbyi in The Jepson Manual (1993).  See Contr. Gray Herb. 49: 29 (1917) for original description, and Leaflets of Western Botany III(5): 120 (1942) and Madroño 56(3):205-207 (2009) for revised nomenclature.","Phacelia hubbyi (J.F. Macbr.) L.M. Garrison","Phacelia cicutaria var. hubbyi","PDHYD0C0R4","PHHU4",NA,NA,"2007-02-02","","2016-10-18",NA
"80",4106,"OBI","OBI3290","Juglans californica","Neil Havlik","",373,"",2440339,2440339,"27-Apr-69","Ventura","","At Wheeler Gorge",34.508,-119.275,"NAD83","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=OBI3290"" target=""_blank"">View Details</a>",NA,"Southern California black walnut","Juglandaceae","perennial deciduous tree","4.2","G4","S4","None","None","Mar-Aug","Chaparral, Cismontane woodland, Coastal scrub, Riparian woodland","alluvial",50,160,900,2955,TRUE,"","LAX, ORA, RIV, SBA, SBD, SDG, VEN","Sitton Peak (3311754), Lake Elsinore (3311763), Anaheim (3311778), El Casco (3311781), Prado Dam (3311786), Yorba Linda (3311787), La Habra (3311788), Whittier (3311881), Yucaipa (3411711), Ontario (3411716), Baldwin Park (3411718), San Bernardino North (3411723), Devore (3411724), Cucamonga Peak (3411725), Glendora (3411727), Cajon (3411734), El Monte (3411811), Hollywood (3411813), Topanga (3411815), Mt. Wilson (3411821), Burbank (3411823), Van Nuys (3411824), Condor Peak (3411832), San Fernando (3411834), Oat Mountain (3411835), Santa Susana (3411836), Newhall (3411845), Acton (3411846), Val Verde (3411846), Acton (3411846), Val Verde (3411846), Ojai (3411942), Matilija (3411943), White Ledge Peak (3411944)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Walnut forest is a much fragmented, rare, and declining vegetation community.  Threatened by urbanization, grazing, non-native plants, and possibly by lack of natural reproduction.  Possibly threatened by hybridization with horticultural varieties of walnut.  A synonym of J. californica var. californica in The Jepson Manual.  See Proceedings of the American Academy of Arts and Sciences 10:349 (1875) for original description, and Southern California Botanists Special Publication No. 3, pp. 42-54 (1990) for additional information.","Juglans californica Wats.","Juglans californica var. californica","PDJUG02020","JUCA",NA,NA,"1994-01-01","","2015-07-23",NA
"81",4119,"OBI","OBI15804","Layia heterotricha","Carl B. Wolf","",6929,"",2427944,2427944,"21-May-35","Ventura","1341 m","Santa Ynez Mts, Ojai to Cuyama Valley rd, Pine Mt, upper Sespe Crk 3-6/10 mi S of summit of Pine Mt grade",34.611932,-119.368379,"WGS84","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=OBI15804"" target=""_blank"">View Details</a>",NA,"pale-yellow layia","Asteraceae","annual herb","1B.1","G2","S2","None","None","Mar-Jun","Cismontane woodland, Coastal scrub, Pinyon and juniper woodland, Valley and foothill grassland","alkaline or clay",300,980,1705,5595,TRUE,"","FRE, KNG, KRN, LAX, MNT, SBA, SBT, SLO, VEN","Matilija (3411943), Goleta (3411947), Wheeler Springs (3411953), Lake Cachuma (3411958), Lockwood Valley (3411961), San Guillermo (3411962), Reyes Peak (3411963), Rancho Nuevo Creek (3411964), Cuddy Valley (3411971), Sawmill Mountain (3411972), Apache Canyon (3411973), Cuyama Peak (3411974), Fox Mountain (3411975), Salisbury Potrero (3411976), Pleito Hills (3411981), Ballinger Canyon (3411984), Bates Canyon (3411988), Lompoc (3412064), Surf (3412065), Casmalia (3412075), Freeman Junction (3511758), Mojave (3511812), Monolith (3511813), Tehachapi South (3511814), Tehachapi NE (3511823), Tehachapi North (3511824), Elkhorn Hills (3511915), Wells Ranch (3511916), Caliente Mtn. (3511917), Taylor Canyon (3511918), Panorama Hills (3511926), Chimineas Ranch (3511928), Reward (3511936), McKittrick Summit (3511937), Simmler (3511938), Carneros Rocks (3511947), Las Yeguas Ranch (3511948), California Valley (3512031), La Panza (3512032), Camatta Ranch (3512043), Wilson Corner (3512044), Orchard Peak (3512062), Cholame (3512063), Tent Hills (3512072), Cholame Valley (3512073), Tierra Redonda Mountain (3512078), Garza Peak (3512082), The Dark Hole (3512083), Hames Valley (3512088), Bryson (3512171), Burnett Peak (3512172), Curry Mountain (3612014), Smith Mountain (3612015), Coalinga (3612023), Monarch Peak (3612027), Nattrass Valley (3612028), Domengine Ranch (3612033), Joaquin Rocks (3612034), Santa Rita Peak (3612035), Lonoak (3612038), Lillis Ranch (3612044), Ciervo Mtn. (3612045), Rock Spring Peak (3612048), Tumey Hills (3612056), Panoche (3612057), Bear Canyon (3612113), San Lucas (3612121), Thompson Canyon (3612122), Greenfield (3612132)",125,21,12,1,8,1,82,51,74,124,0,1,"Threatened by agricultural conversion and previous construction of San Antonio Reservoir, grazing, non-native plants, and vehicles.  Potentially threatened by road maintenance and wind energy development.","Layia heterotricha (DC.) H. & A.","","PDAST5N070","LAHE",NA,NA,"1994-01-01","","2011-11-22",NA
"82",4122,"SBBG","SBBG114809","Fritillaria ojaiensis","R. Burgess, P. Munro","",1836,"",2450151,2450151,"8-Mar-1996","Ventura","533 m","landslide area, Catharina Crk tributary",34.4226,-119.4442,"","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG114809"" target=""_blank"">View Details</a>",NA,"Ojai fritillary","Liliaceae","perennial bulbiferous herb","1B.2","G3","S3","None","None","Feb-May","Broadleafed upland forest (mesic), Chaparral, Cismontane woodland, Lower montane coniferous forest","rocky",225,735,998,3275,TRUE,"","MNT, SBA, SLO, VEN","Santa Paula Peak (3411941), Ojai (3411942), Matilija (3411943), White Ledge Peak (3411944), Carpinteria (3411945), Santa Barbara (3411946), Lion Canyon (3411952), Wheeler Springs (3411953), Little Pine Mtn. (3411956), San Marcos Pass (3411957), Lake Cachuma (3411958), Bald Mountain (3411978), Santa Ynez (3412051), Solvang (3412052), Zaca Lake (3412071), Tepusquet Canyon (3412082), Santa Margarita Lake (3512034), Lopez Mtn. (3512035), San Luis Obispo (3512036), Atascadero (3512046), Morro Bay North (3512047), Cypress Mountain (3512058), Pebblestone Shut-in (3512161), Burro Mountain (3512173), Alder Peak (3512183)",49,2,10,1,1,0,35,20,29,49,0,0,"Possibly threatened by road maintenance and recreational activities.  Closely related to F. affinis.","Fritillaria ojaiensis A. Davids.","","PMLIL0V0N0","FROJ",NA,NA,"1980-01-01","","2014-07-30",NA
"83",4264,"RSA","RSA21102","Abronia maritima","Carl B. Wolf, P. C. Everett","",3118,"",2428825,2428825,"1937-10-18","Ventura","3m","Punta.",34.364341,-119.448438,"WGS84","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA21102"" target=""_blank"">View Details</a>",NA,"red sand-verbena","Nyctaginaceae","perennial herb","4.2","G4","S3?","None","None","Feb-Nov","Coastal dunes","",0,0,100,330,FALSE,"BA","ANA, LAX, ORA, SBA, SCM, SCT, SCZ, SDG, SLO, SMI, SNI, VEN","Imperial Beach (3211751), Point Loma (3211762), La Jolla (3211772), Del Mar (3211782), San Clemente Island North (3211885), Encinitas (3311713), Oceanside (3311724), Las Pulgas Canyon (3311734), Newport Beach (3311768), Santa Catalina North (3311844), Venice (3311884), San Nicolas Island (3311924), Anacapa Island (3311983), Santa Cruz Island D (3311984), Santa Cruz Island C (3311985), Santa Cruz Island A (3311987), San Miguel Island East (3312083), San Miguel Island West (3312084), Triunfo Pass (3411818), Point Mugu (3411911), Ventura (3411933), Dos Pueblos Canyon (3411948), Point Conception (3412044), Point Arguello (3412056), Lompoc (3412064), Surf (3412065), Casmalia (3412075), Point Sal (3412086), Oceano (3512015), Morro Bay South (3512037), Morro Bay North (3512047), Cayucos (3512048)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nearly extirpated in southern CA; more common to north?  Field surveys needed.  Hybridizes with A. latifolia and A. umbellata.  See Botany of California 2:4 (1880) for original description.","Abronia maritima Wats.","","PDNYC010E0","ABMA2",NA,NA,"1994-01-01","","2019-02-08",NA
"84",4293,"SBBG","SBBG1183","Piperia michaelii","C. F. Smith","",1322,"",2431611,2431611,"4-Jun-1945","Santa Barbara","701 m","Rattlesnake Cyn trail",34.475,-119.68,"","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG1183"" target=""_blank"">View Details</a>",NA,"Michael's rein orchid","Orchidaceae","perennial herb","4.2","G3","S3","None","None","Apr-Aug","Coastal bluff scrub, Closed-cone coniferous forest, Chaparral, Cismontane woodland, Coastal scrub, Lower montane coniferous forest","",3,5,915,3000,TRUE,"","ALA, AMA, BUT, CCA, FRE, HUM, LAX, MNT, MRN, SBA, SBT, SCL, SCR, SCZ, SFO, SLO, SMT, STA, TUL, TUO, VEN, YUB","Newbury Park (3411828), Old Man Mountain (3411954), Lopez Mtn. (3512035), San Benito Mtn. (3612036), Hepsedam Peak (3612037), Soberanes Point (3612148), Monterey (3612158), Marina (3612167), Prunedale (3612176), Watsonville West (3612187), Sonora (3712084), Pacheco Pass (3712112), Hayward (3712261), San Quentin (3712284), Tomales (3812228), Clearlake Highlands (3812286)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recent surveys in VEN Co. have been unsuccessful.  Known from SCZ Isl. from a single collection in 1968.  Possibly threatened by road widening.  See Bulletin of the California Academy of Sciences 1:282 (1885) for original description, Bulletin of the Torrey Botanical Club 28:640 (1901) for revised nomenclature, and The Wild Orchids of California, p. 126-128 (1995) by R. Coleman for species account.","Piperia michaelii (Greene) Rydb.","Piperia elongata ssp. michaelii","PMORC1X110","PIMI6",NA,NA,"1984-01-01","","2011-10-18",NA
"85",4379,"SBBG","SBBG44341","Malacothrix saxatilis var. saxatilis","H. M. Pollard","",NA,"",2441288,2441288,"2-Dec-1971","Ventura","","Ventura River S of and near old US Hwy 101 bridge; Ventura",34.2845,-119.3045,"","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG44341"" target=""_blank"">View Details</a>",NA,"cliff malacothrix","Asteraceae","perennial rhizomatous herb","4.2","G5T4","S4","None","None","Mar-Sep","Coastal bluff scrub, Coastal scrub","",3,5,200,655,TRUE,"","ORA, SBA, VEN","Dana Point (3311746), San Juan Capistrano (3311756), Laguna Beach (3311757)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"See American Midland Naturalist 58(2):510 (1957) for taxonomic treatment.  Threatened by development and exotic species.","Malacothrix saxatilis (Nutt.) T. & G. var. saxatilis","","PDAST660C5","MASAS",NA,NA,"2001-01-01","","2010-03-15",NA
"86",4494,"SD","SD122651","Nolina cismontana","James C. Dice","",654,"",2446584,2446584,"Jun 02, 1986","Ventura","","Foothills of Santa Ynez Mountains, near head of Santa Ana Valley; ca. 3.2 kilometers north of Hwy. 150; ca. 0.2 kilometer east of Santa Ana Ck",34.44583,-119.33556,"not recorded","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD122651"" target=""_blank"">View Details</a>",NA,"chaparral nolina","Ruscaceae","perennial evergreen shrub","1B.2","G3","S3","None","None","(Mar)May-Jul","Chaparral, Coastal scrub","sandstone or gabbro",140,455,1275,4185,TRUE,"","LAX, ORA, RIV, SDG, VEN","Viejas Mountain (3211676), Rodriquez Mtn. (3311628), Pala (3311731), Bonsall (3311732), Pechanga (3311741), San Clemente (3311745), Sitton Peak (3311754), Canada Gobernadora (3311755), San Juan Capistrano (3311756), Santiago Peak (3311765), El Toro (3311766), Corona South (3311775), Black Star Canyon (3311776), Calabasas (3411826), Thousand Oaks (3411827), Matilija (3411943), White Ledge Peak (3411944)",68,3,16,2,0,1,46,17,51,67,1,0,"Threatened by development, agriculture, road construction, and recreational activities.  Not in TJM (1993); mentioned as  undescribed sp.  under N. parryi.  See Novon 5:162 (1995) for original description.","Nolina cismontana Dice","","PMAGA080E0","NOCI",NA,NA,"2001-01-01","","2012-11-05",NA
"87",4506,"CAS-BOT-BC","CAS-BOT-BC17108","Delphinium umbraculorum","D. E. Breedlove","",2668,"",2437791,2437791,"May 6, 1962","Santa Barbara","640 m","Escondido Canyon at Escondido Spring, Santa Ynez Mountains",34.477,-119.5673,"Terrain Nav. v. 8.7","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC17108"" target=""_blank"">View Details</a>",NA,"umbrella larkspur","Ranunculaceae","perennial herb","1B.3","G3","S3","None","None","Apr-Jun","Chaparral, Cismontane woodland","",400,1310,1600,5250,TRUE,"","MNT, SBA, SLO, VEN","Santa Paula Peak (3411941), White Ledge Peak (3411944), Carpinteria (3411945), Santa Barbara (3411946), Old Man Mountain (3411954), Hildreth Peak (3411955), Little Pine Mtn. (3411956), San Marcos Pass (3411957), Reyes Peak (3411963), Rancho Nuevo Creek (3411964), Big Pine Mtn. (3411966), San Rafael Mtn. (3411967), Figueroa Mtn. (3411968), Salisbury Potrero (3411976), Hurricane Deck (3411977), Bald Mountain (3411978), Bates Canyon (3411988), Santa Ynez (3412051), Santa Rosa Hills (3412053), Lompoc Hills (3412054), Los Olivos (3412061), Zaca Lake (3412071), Manzanita Mtn. (3412081), Tepusquet Canyon (3412082), Caliente Mtn. (3511917), Taylor Canyon (3511918), Chimineas Ranch (3511928), Miranda Pine Mtn. (3512011), Chimney Canyon (3512012), Branch Mtn. (3512021), Los Machos Hills (3512022), Tar Spring Ridge (3512024), Pismo Beach (3512026), Pozo Summit (3512033), Santa Margarita Lake (3512034), Morro Bay North (3512047), York Mountain (3512057), Cypress Mountain (3512058), Adelaida (3512067), Lime Mountain (3512068), Hames Valley (3512088), Espinosa Canyon (3612111), Cosio Knob (3612112), Thompson Canyon (3612122), Junipero Serra Peak (3612124), Chews Ridge (3612135), Big Sur (3612137), Chualar (3612155), Spreckels (3612156), Monterey (3612158)",84,3,5,3,0,0,73,43,41,84,0,0,"Possibly threatened by grazing.  Hybridizes with D. parryi ssp. parryi. See Brittonia 8:19 (1954) for original description, and Phytologia 67(6):490-491 (1989) for taxonomic treatment.","Delphinium umbraculorum Lewis & Epl.","","PDRAN0B1W0","DEUM",NA,NA,"1974-01-01","","2010-03-15",NA
"88",4692,"CAS-BOT-BC","CAS-BOT-BC167834","Polygala cornuta var. fishiae","Nora Pettibone; Frank W. Hubby","s.n.",NA,"",2413332,2413332,"May 18, 1895","Ventura","","Matilija [Canon] Canyon",34.499,-119.3,"Terrain Nav. v. 8.7 (copied from SBBG19788)","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC167834"" target=""_blank"">View Details</a>",NA,"Fish's milkwort","Polygalaceae","perennial deciduous shrub","4.3","G5T4","S4","None","None","May-Aug","Chaparral, Cismontane woodland, Riparian woodland","",100,325,1000,3280,FALSE,"BA","LAX, ORA, RIV, SBA, SDG, VEN","Barrett Lake (3211666), Dulzura (3211667), Viejas Mountain (3211676), Alpine (3211677), San Pasqual (3311618), Mesa Grande (3311627), Rodriquez Mtn. (3311628), Palomar Observatory (3311637), Boucher Hill (3311638), Las Pulgas Canyon (3311734), Pechanga (3311741), Temecula (3311742), Fallbrook (3311743), Margarita Peak (3311744), San Clemente (3311745), Murrieta (3311752), Wildomar (3311753), Sitton Peak (3311754), Santiago Peak (3311765), Corona South (3311775), Black Star Canyon (3311776), Ojai (3411942)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Includes P. cornuta var. pollardii.","Polygala cornuta Kell. var. fishiae (Parry) Jeps.","Polygala cornuta var. pollardii","PDPGL020B2","POCOF",NA,NA,"1974-01-01","","2010-03-15",NA
"89",4698,"SBBG","SBBG27010","Perideridia pringlei","E. R. Chandler","",3477,"",2439644,2439644,"2-Jun-1967","Ventura","1371 m","near Sandstone Camp, off Hwy 33",34.6135,-119.367,"","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG27010"" target=""_blank"">View Details</a>",NA,"adobe yampah","Apiaceae","perennial herb","4.3","G4","S4","None","None","Apr-Jun(Jul)","Chaparral, Cismontane woodland, Coastal scrub, Pinyon and juniper woodland","Serpentinite, often clay",300,980,1800,5905,TRUE,"","KRN, LAX, MNT, SBA, SLO, TUL, VEN","Ritter Ridge (3411852), La Liebre Ranch (3411876), Lebec (3411877), Willow Springs (3411883), Tylerhorse Canyon (3411884), Cuddy Valley (3411971), Santiago Creek (3411983), Ballinger Canyon (3411984), Monolith (3511813), Cache Peak (3511822), Cross Mountain (3511832), Emerald Mtn. (3511833), Oiler Peak (3511835), Pinyon Mtn. (3511842), Lake Isabella South (3511854), Miracle Hot Springs (3511855), Elkhorn Hills (3511915), Caliente Mtn. (3511917), Taylor Canyon (3511918), Branch Mtn. (3512021), Pismo Beach (3512026), Burnett Peak (3512172), Burro Mountain (3512173), Jolon (3512182), Alder Peak (3512183)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Possibly threatened by wind energy development.","Perideridia pringlei (Coult. & Rose) Nels. & Macbr.","","PDAPI1N0D0","PEPR5",NA,NA,"1974-01-01","","2014-12-04",NA
"90",4732,"SBBG","SBBG16913","Imperata brevifolia","M. A. Piehl","",62471,"",2437932,2437932,"24-Sep-1962","Ventura","","Matilija Cyn Rd, ca. 0.5 mi W of Matilija Lake",34.502,-119.35,"","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG16913"" target=""_blank"">View Details</a>",NA,"California satintail","Poaceae","perennial rhizomatous herb","2B.1","G4","S3","None","None","Sep-May","Chaparral, Coastal scrub, Mojavean desert scrub, Meadows and seeps (often alkali), Riparian scrub","mesic",0,0,1215,3985,FALSE,"AZ, BA, NM, NV, SO, TX, UT","BUT, FRE, IMP, INY, KRN, LAK, LAX, ORA, RIV, SBD, TEH, TUL, VEN","Calexico (3211564), Heber (3211565), Blythe NE (3311465), McCoy Wash (3311466), Palm Springs (3311675), San Jacinto (3311678), White Water (3311686), Canada Gobernadora (3311755), Yucaipa (3411711), Redlands (3411712), Keller Peak (3411721), Harrison Mtn. (3411722), San Bernardino North (3411723), Glendora (3411727), Azusa (3411728), Condor Peak (3411832), Matilija (3411943), Wheeler Springs (3411953), Gosford (3511931), Furnace Creek (3611647), Nevares Peak (3611657), Panamint Butte (3611743), Craig Canyon (3611767), East of Tin Mountain (3611783), Visalia (3611933), Reedley (3611954), Wahtoke (3611964), Malaga (3611966), Fresno South (3611967), Piedra (3611974), Clovis (3611976), Fresno North (3611977), Scottys Castle (3711713), Whispering Pines (3812276), Clearlake Highlands (3812286), Paradise West (3912176), Richardson Springs (3912177), Campbell Mound (3912187)",32,0,0,0,1,0,31,25,7,32,0,0,"Many collections old; need field surveys.  Records from BUT, THE, and LAK counties may represent escapes from ornamental plantings.  Threatened by development and agriculture.  Mistakenly classified as a noxious weed in California from 1960 to 2004.  See Bulletin of the Torrey Botanical Club 13: 26 (1886) for original description.","Imperata brevifolia Vasey","","PMPOA3D020","IMBR2",NA,NA,"2006-12-26","","2013-06-12",NA
"91",4815,"SBBG","SBBG61588","Juglans californica","R. Hoffmann","",NA,"",2425473,2425473,"14-Aug-1928","Ventura","","Wheeler Hot Springs",34.508,-119.291,"","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG61588"" target=""_blank"">View Details</a>",NA,"Southern California black walnut","Juglandaceae","perennial deciduous tree","4.2","G4","S4","None","None","Mar-Aug","Chaparral, Cismontane woodland, Coastal scrub, Riparian woodland","alluvial",50,160,900,2955,TRUE,"","LAX, ORA, RIV, SBA, SBD, SDG, VEN","Sitton Peak (3311754), Lake Elsinore (3311763), Anaheim (3311778), El Casco (3311781), Prado Dam (3311786), Yorba Linda (3311787), La Habra (3311788), Whittier (3311881), Yucaipa (3411711), Ontario (3411716), Baldwin Park (3411718), San Bernardino North (3411723), Devore (3411724), Cucamonga Peak (3411725), Glendora (3411727), Cajon (3411734), El Monte (3411811), Hollywood (3411813), Topanga (3411815), Mt. Wilson (3411821), Burbank (3411823), Van Nuys (3411824), Condor Peak (3411832), San Fernando (3411834), Oat Mountain (3411835), Santa Susana (3411836), Newhall (3411845), Acton (3411846), Val Verde (3411846), Acton (3411846), Val Verde (3411846), Ojai (3411942), Matilija (3411943), White Ledge Peak (3411944)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Walnut forest is a much fragmented, rare, and declining vegetation community.  Threatened by urbanization, grazing, non-native plants, and possibly by lack of natural reproduction.  Possibly threatened by hybridization with horticultural varieties of walnut.  A synonym of J. californica var. californica in The Jepson Manual.  See Proceedings of the American Academy of Arts and Sciences 10:349 (1875) for original description, and Southern California Botanists Special Publication No. 3, pp. 42-54 (1990) for additional information.","Juglans californica Wats.","Juglans californica var. californica","PDJUG02020","JUCA",NA,NA,"1994-01-01","","2015-07-23",NA
