"Scientific Name","Common Name","Family","Lifeform","CRPR","GRank","SRank","CESA","FESA","Blooming Period","Habitat","Micro Habitat","Elevation Low (m)","Elevation Low (ft)","Elevation High (m)","Elevation High (ft)","CA Endemic","States","Counties","Quads","EO Total","EO A","EO B","EO C","EO D","EO X","EO U","EO Historical","EO Recent","EO Extant","EO Possibly Extirpated","EO Extirpated","Notes","Full Scientific Name","Synonyms","Element Code","USDA PLANTS Symbol","Flora Status","CBR Reason","Date Added","Date Changed","Last Update",
"Antirrhinum ovatum","oval-leaved snapdragon","Plantaginaceae","annual herb","4.2","G3","S3","None","None","May-Nov","Chaparral, Cismontane woodland, Pinyon and juniper woodland, Valley and foothill grassland","clay or gypsum, often alkaline","200","655","1000","3280","T","","FRE, KRN, MNT, SBA, SBT, SLO, VEN","Apache Canyon (3411973), Cuyama Peak (3411974), Ballinger Canyon (3411984), Peak Mountain (3411987), Bates Canyon (3411988), Elkhorn Hills (3511915), Wells Ranch (3511916), Caliente Mtn. (3511917), Taylor Canyon (3511918), Panorama Hills (3511926), Painted Rock (3511927), Chimineas Ranch (3511928), McKittrick Summit (3511937), Simmler (3511938), Carneros Rocks (3511947), Las Yeguas Ranch (3511948), Blackwells Corner (3511957), Shale Point (3511958), California Valley (3512031), La Panza NE (3512041), Packwood Creek (3512051), Holland Canyon (3512052), Camatta Canyon (3512053), Orchard Peak (3512062), Cholame (3512063), Estrella (3512065), Paso Robles (3512066), Tent Hills (3512072), Cholame Valley (3512073), Cholame Hills (3512074), Priest Valley (3612026), San Benito Mtn. (3612036), Hepsedam Peak (3612037), Lonoak (3612038), Hernandez Reservoir (3612047), Rock Spring Peak (3612048)","16","0","0","0","0","1","15","16","0","15","1","0","Appears only in favorable years.  Threatened by grazing and vehicles.  See Bulletin of the Torrey Botanical Club 32:213 (1905) for original description.","Antirrhinum ovatum Eastw.","","PDSCR2K010","HOOV","","","1974-01-01","","2011-02-08",
"Aphanisma blitoides","aphanisma","Chenopodiaceae","annual herb","1B.2","G3G4","S2","None","None","Feb-Jun","Coastal bluff scrub, Coastal dunes, Coastal scrub","sandy or gravelly","1","0","305","1000","F","BA, GU","ANA, LAX, ORA, SBA, SBR, SCM, SCT, SCZ, SDG, SNI, SRO, VEN","Imperial Beach (3211751), National City (3211761), Point Loma (3211762), La Jolla (3211772), Del Mar (3211782), San Clemente Island South (3211873), San Clemente Island Central (3211874), San Clemente Island North (3211885), San Onofre Bluff (3311735), Dana Point (3311746), Laguna Beach (3311757), Newport Beach (3311768), Santa Catalina East (3311833), Santa Catalina South (3311834), Santa Catalina North (3311844), Santa Catalina West (3311845), Santa Barbara Island (3311848), San Pedro (3311863), Redondo Beach (3311874), San Nicolas Island (3311924), Anacapa Island (3311983), Santa Cruz Island A (3311987), Santa Rosa Island South (3312071), Ventura (3411933), Casmalia (3412075), Point Sal (3412086)","82","1","5","6","0","1","69","34","48","81","1","0","In steep decline on mainland, and also declining on islands.  May occur on ANA Island.  Threatened by urbanization, recreational development, foot traffic, and non-native plants.  Threatened by feral herbivores on SCT, SCZ, and SRO Islands.","Aphanisma blitoides Moq.","","PDCHE02010","APBL","","","1980-01-01","","2015-07-23",
"Arctostaphylos crustacea ssp. eastwoodiana","Eastwood's brittle-leaf manzanita","Ericaceae","perennial evergreen shrub","1B.1","G4T2","S2","None","None","Mar","Chaparral (maritime, sandy)","","90","295","365","1200","T","","SBA","Lompoc Hills (3412054), Los Alamos (3412063), Lompoc (3412064), Surf (3412065), Point Sal (3412086)","3","3","0","0","0","0","0","3","0","3","0","0","Threatened by urbanization.  See Madroño 19(6):197 (1968) for original description.","Arctostaphylos crustacea Eastw. ssp. eastwoodiana (P.V. Wells) V.T. Parker, M.C. Vasey & J.E. Keeley","Arctostaphylos tomentosa ssp. eastwoodiana","PDERI041H4","","","","1988-01-01","","2010-09-08",
"Arctostaphylos crustacea ssp. subcordata","Santa Cruz Island manzanita","Ericaceae","perennial evergreen shrub","4.2","G4T3","S3","None","None","Jan,Mar,Apr","Closed-cone coniferous forest, Chaparral","rocky","100","325","730","2395","T","","LAX, SBA, SCZ, SLO, SRO","Santa Catalina North (3311844), Santa Catalina West (3311845), Santa Cruz Island D (3311984), Santa Cruz Island C (3311985), Santa Cruz Island B (3311986), Santa Cruz Island A (3311987), Santa Rosa Island North (3312081), Tranquillon Mtn. (3412055)","","","","","","","","","","","","","Does plant occur in SLO Co.?  Possibly threatened by feral herbivores.  See Leaflets of Western Botany 1:61 (1933) for original description, and Madroño 19(6):198 (1968) for revised nomenclature.","Arctostaphylos crustacea Eastw. ssp. subcordata (Eastw.) V.T. Parker, M.C. Vasey & J.E. Keeley","Arctostaphylos tomentosa ssp. subcordata","PDERI041H7","","","","1974-01-01","","2010-09-08",
"Arctostaphylos glandulosa ssp. gabrielensis","San Gabriel manzanita","Ericaceae","perennial evergreen shrub","1B.2","G5T3","S3","None","None","Mar","Chaparral (rocky)","","595","1950","1500","4920","T","","LAX, SBA, SBD","Cucamonga Peak (3411725), Mt. Baldy (3411726), Mount San Antonio (3411736), Crystal Lake (3411737), Waterman Mtn. (3411738), Juniper Hills (3411748), Mt. Wilson (3411821), Chilao Flat (3411831), Condor Peak (3411832), Pacifico Mountain (3411841), Peak Mountain (3411987), Bates Canyon (3411988), Manzanita Mtn. (3412081), Taylor Canyon (3511918), Miranda Pine Mtn. (3512011)","35","0","1","0","0","0","34","19","16","35","0","0","Known only from Mill Creek Summit divide in the San Gabriel Mtns.  Threatened by powerline construction.  See Four Seasons 9(2):46 (1992) for original description.","Arctostaphylos glandulosa Eastw. ssp. gabrielensis (P.V. Wells) J.E. Keeley, M.C. Vasey & V.T. Parker","Arctostaphylos gabrielensis","PDERI042P0","","","","1994-01-01","","2011-02-17",
"Arctostaphylos pechoensis","Pecho manzanita","Ericaceae","perennial evergreen shrub","1B.2","G2","S2","None","None","Nov-Mar","Closed-cone coniferous forest, Chaparral, Coastal scrub","siliceous shale","125","410","850","2790","T","","SBA, SLO","Lompoc (3412064), Pismo Beach (3512026), Port San Luis (3512027), Lopez Mtn. (3512035), San Luis Obispo (3512036), Morro Bay South (3512037)","16","0","0","1","0","0","15","9","7","16","0","0","Known only from Pecho Hills area.  Threatened by urbanization.  See North American Flora 29:98 (1914) for original description. ","Arctostaphylos pechoensis Dudl.","","PDERI04140","ARPE5","","","1974-01-01","","2010-03-15",
"Arctostaphylos purissima","La Purisima manzanita","Ericaceae","perennial evergreen shrub","1B.1","G2","S2","None","None","Nov-May","Chaparral (sandy), Coastal scrub","","60","195","555","1820","T","","SBA","Sacate (3412043), Point Conception (3412044), Solvang (3412052), Santa Rosa Hills (3412053), Lompoc Hills (3412054), Tranquillon Mtn. (3412055), Los Alamos (3412063), Lompoc (3412064), Surf (3412065), Sisquoc (3412073), Orcutt (3412074), Casmalia (3412075), Guadalupe (3412085), Point Sal (3412086)","41","4","7","1","0","0","29","29","12","41","0","0","Threatened by urbanization, habitat conversion, and oil extraction.  See Madroño 19:195 (1968) for original description.","Arctostaphylos purissima Wells","","PDERI041A0","ARPU10","","","1988-01-01","","2018-10-11",
"Arctostaphylos refugioensis","Refugio manzanita","Ericaceae","perennial evergreen shrub","1B.2","G3","S3","None","None","Dec-Mar(May)","Chaparral (sandstone)","","274","895","820","2690","T","","SBA, SBD","Santa Barbara (3411946), Goleta (3411947), Lake Cachuma (3411958), Gaviota (3412042), Sacate (3412043), Point Conception (3412044), Santa Ynez (3412051), Solvang (3412052), Santa Rosa Hills (3412053), Lompoc Hills (3412054), Los Olivos (3412061), Lompoc (3412064), Sisquoc (3412073)","27","0","2","1","0","0","24","13","14","27","0","0","Potentially threatened by development.  See Four Seasons 2(2):13 (1967) for original description.","Arctostaphylos refugioensis Gankin","","PDERI041B0","ARRE5","","","1974-01-01","","2010-03-15",
"Arctostaphylos rudis","sand mesa manzanita","Ericaceae","perennial evergreen shrub","1B.2","G2","S2","None","None","Nov-Feb","Chaparral (maritime), Coastal scrub","sandy","25","80","322","1055","T","","SBA, SLO","Point Conception (3412044), Lompoc Hills (3412054), Tranquillon Mtn. (3412055), Point Arguello (3412056), Los Alamos (3412063), Lompoc (3412064), Surf (3412065), Sisquoc (3412073), Orcutt (3412074), Casmalia (3412075), Santa Maria (3412084), Guadalupe (3412085), Point Sal (3412086), Nipomo (3512014), Oceano (3512015), Arroyo Grande NE (3512025)","36","4","7","4","4","0","17","22","14","36","0","0","Severely reduced on Nipomo Mesa; more widespread on Burton Mesa.  Threatened by agriculture, road construction, road maintenance, and oil extraction.  Possibly threatened by development.  See Erythea 8:100 (1938) for original description.","Arctostaphylos rudis Jeps. & Wies.","","PDERI041E0","ARRU2","","","1980-01-01","","2011-10-17",
"Asplenium vespertinum","western spleenwort","Aspleniaceae","perennial rhizomatous herb","4.2","G4","S4","None","None","Feb-Jun","Chaparral, Cismontane woodland, Coastal scrub","rocky","180","590","1000","3280","F","BA","LAX, ORA, RIV, SBD, SDG, VEN","Campo (3211654), Tecate (3211656), Otay Mountain (3211657), Otay Mesa (3211658), Cameron Corners (3211664), Morena Reservoir (3211665), Dulzura (3211667), Jamul Mountains (3211668), Viejas Mountain (3211676), Alpine (3211677), El Cajon (3211678), El Cajon Mtn. (3211687), San Vicente Reservoir (3211688), National City (3211761), La Mesa (3211771), Poway (3211781), Ramona (3311617), Mesa Grande (3311627), Vail Lake (3311648), San Marcos (3311722), Margarita Peak (3311744), Sitton Peak (3311754), Canada Gobernadora (3311755), Alberhill (3311764), San Bernardino South (3411713), San Dimas (3411717), Cucamonga Peak (3411725), Mt. Baldy (3411726), Azusa (3411728), Mt. Wilson (3411821), Pasadena (3411822), Thousand Oaks (3411827), Newbury Park (3411828), Condor Peak (3411832)","","","","","","","","","","","","","See Bulletin of the Torrey Botanical Club 27:197 (1900) for original description.","Asplenium vespertinum Maxon","","PPASP021P0","ASVE3","","","1974-01-01","","2010-03-15",
"Astragalus brauntonii","Braunton's milk-vetch","Fabaceae","perennial herb","1B.1","G2","S2","None","FE","Jan-Aug","Chaparral, Coastal scrub, Valley and foothill grassland","recent burns or disturbed areas, usually sandstone with carbonate layers","4","10","640","2100","T","","LAX, ORA, RIV, VEN","Black Star Canyon (3311776), Prado Dam (3311786), Azusa (3411728), Hollywood (3411813), Beverly Hills (3411814), Topanga (3411815), Malibu Beach (3411816), Point Dume (3411817), Mt. Wilson (3411821), Van Nuys (3411824), Canoga Park (3411825), Calabasas (3411826), Thousand Oaks (3411827), Oat Mountain (3411835), Camarillo (3411921)","44","0","9","6","6","5","18","11","33","39","4","1","Threatened by development, vegetation/fuel management activities, and alteration of local fire regimes.  See Bulletin of the Southern California Academy of Sciences 2:26-27 (1903) for original description, and Fremontia 19(3):6-7 (1991) for species account.","Astragalus brauntonii Parish","","PDFAB0F1G0","ASBR6","","","1974-01-01","","2011-10-06",
"Astragalus didymocarpus var. milesianus","Miles' milk-vetch","Fabaceae","annual herb","1B.2","G5T2","S2","None","None","Mar-Jun","Coastal scrub (clay)","","20","65","90","295","T","","SBA, SLO, VEN","Ventura (3411933), Ojai (3411942), Matilija (3411943), Little Pine Mtn. (3411956), Gaviota (3412042), Zaca Creek (3412062), Lompoc (3412064), Zaca Lake (3412071), Foxen Canyon (3412072), Twitchell Dam (3412083), Huasna Peak (3512013), Nipomo (3512014), Caldwell Mesa (3512023), San Luis Obispo (3512036), Morro Bay South (3512037), Santa Margarita (3512045), Atascadero (3512046), Morro Bay North (3512047), Cayucos (3512048)","16","0","1","0","0","0","15","14","2","16","0","0","Threatened by development.  See Bulletin of the Torrey Botanical Club 53(3):169 (1926) for original description, and Flora of California 2(1):376-377 (1936) by W.L. Jepson for revised nomenclature.","Astragalus didymocarpus H. & A. var. milesianus (Rydb.) Jeps.","","PDFAB0F2X3","ASDIM","","","2001-01-01","","2010-03-15",
"Astragalus lentiginosus var. sierrae","Big Bear Valley milk-vetch","Fabaceae","perennial herb","1B.2","G5T2","S2","None","None","Apr-Aug","Mojavean desert scrub, Meadows and seeps, Pinyon and juniper woodland, Upper montane coniferous forest","gravelly or rocky","1800","5905","2600","8530","T","","LAX, SBD, VEN","Onyx Peak (3411626), Moonridge (3411627), Big Bear Lake (3411628), Rattlesnake Canyon (3411636), Big Bear City (3411637), Fawnskin (3411638), Butler Peak (3411731)","68","2","5","12","4","0","45","15","53","68","0","0","Known only from Big Bear Valley and the Baldwin Lake region.  Threatened by urbanization, illegal dumping, mining, road construction, vegetation/fuel management activities, road maintenance, and recreational activities.  See Revision of North American Species of Astragalus, p. 124 (1923) by M. E. Jones for original description, and Memoirs of the New York Botanical Garden 13:925 (1964) for taxonomic treatment.","Astragalus lentiginosus Hook. var. sierrae Jones","","PDFAB0FB9L","ASLES5","","","1994-01-01","","2010-03-15",
"Astragalus leucolobus","Big Bear Valley woollypod","Fabaceae","perennial herb","1B.2","G2","S2","None","None","May-Jul","Lower montane coniferous forest, Pebble (Pavement) plain, Pinyon and juniper woodland, Upper montane coniferous forest","rocky","1100","3605","2885","9465","T","","INY, KRN, LAX, RIV, SBD, SBT, SDG, VEN","Toro Peak (3311654), Onyx Peak (3411626), Moonridge (3411627), Big Bear Lake (3411628), Rattlesnake Canyon (3411636), Big Bear City (3411637), Fawnskin (3411638), Butler Peak (3411731), Telegraph Peak (3411735), Mount San Antonio (3411736), Mescal Creek (3411746), Lebec (3411877)","118","2","23","16","2","0","75","23","95","118","0","0","Does plant occur in SDG Co.?  Threatened by development, recreational activities, and vehicles.","Astragalus leucolobus Jones","","PDFAB0F4T0","ASLE11","","","1974-01-01","","2014-06-10",
"Astragalus macrodon","Salinas milk-vetch","Fabaceae","perennial herb","4.3","G4","S4","None","None","Apr-Jul","Chaparral (openings), Cismontane woodland, Valley and foothill grassland","sandstone, shale, or serpentinite","250","820","950","3115","T","","KRN, MNT, SBT, SLO, VEN","Maricopa (3511914), Wells Ranch (3511916), Caliente Mtn. (3511917), Chimineas Ranch (3511928), McKittrick Summit (3511937), Las Yeguas Ranch (3511948), California Valley (3512031), La Panza NE (3512041), Camatta Ranch (3512043), Templeton (3512056), York Mountain (3512057), Paso Robles (3512066), Adelaida (3512067), Ranchito Canyon (3512075), San Miguel (3512076), Bradley (3512077), Tierra Redonda Mountain (3512078), Stockdale Mountain (3512085), Valleton (3512086), Hames Valley (3512088), Williams Hill (3512181), Jolon (3512182), San Benito Mtn. (3612036), Panoche (3612057), Llanada (3612058), Pinalito Canyon (3612131), Carmel Valley (3612146)","","","","","","","","","","","","","","Astragalus macrodon (H. & A.) Gray","","PDFAB0F520","ASMA3","","","1974-01-01","","2010-03-15",
"Astragalus nuttallii var. nuttallii","ocean bluff milk-vetch","Fabaceae","perennial herb","4.2","G4T4","S4","None","None","Jan-Nov","Coastal bluff scrub, Coastal dunes","","3","5","120","395","T","","ALA, MNT, MRN, SBA, SFO, SLO, SMT","Surf (3412065), Casmalia (3412075), Point Sal (3412086), Oceano (3512015), Morro Bay South (3512037), Cambria (3512151), Pico Creek (3512152), San Simeon (3512162), Piedras Blancas (3512163), Cape San Martin (3512184), Lopez Point (3612115), Big Sur (3612137), Soledad (3612143), Soberanes Point (3612148), Monterey (3612158), Marina (3612167), Pigeon Point (3712224), San Gregorio (3712234), Montara Mountain (3712254), San Francisco South (3712264), San Francisco North (3712274), Point Bonita (3712275)","","","","","","","","","","","","","Possibly threatened by foot traffic and road maintenance.  See Leaflets of Western Botany 5(6):107 (1948) for revised nomenclature.","Astragalus nuttallii (T. & G.) J.T. Howell var. nuttallii","","PDFAB0F641","ASNUN2","","","2001-01-01","","2016-08-17",
